pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000000_000294_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_000294_leftImg8bit.png,16.6207,0.830074
frankfurt_frankfurt_000000_000576_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_000576_leftImg8bit.png,12.9771,0.774008
frankfurt_frankfurt_000000_001016_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_001016_leftImg8bit.png,19.9364,0.837499
frankfurt_frankfurt_000000_001236_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_001236_leftImg8bit.png,12.1112,0.756573
frankfurt_frankfurt_000000_001751_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_001751_leftImg8bit.png,14.0621,0.802838
frankfurt_frankfurt_000000_002196_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_002196_leftImg8bit.png,14.5430,0.779777
frankfurt_frankfurt_000000_002963_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_002963_leftImg8bit.png,13.0196,0.758935
frankfurt_frankfurt_000000_003025_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_003025_leftImg8bit.png,11.8945,0.749402
frankfurt_frankfurt_000000_003357_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_003357_leftImg8bit.png,12.0629,0.733587
frankfurt_frankfurt_000000_003920_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_003920_leftImg8bit.png,12.2277,0.683142
frankfurt_frankfurt_000000_004617_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_004617_leftImg8bit.png,10.9963,0.653613
frankfurt_frankfurt_000000_005543_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_005543_leftImg8bit.png,12.9438,0.753337
frankfurt_frankfurt_000000_005898_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_005898_leftImg8bit.png,9.4688,0.659529
frankfurt_frankfurt_000000_006589_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_006589_leftImg8bit.png,11.6312,0.774168
frankfurt_frankfurt_000000_007365_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_007365_leftImg8bit.png,12.1362,0.752268
frankfurt_frankfurt_000000_008206_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_008206_leftImg8bit.png,10.8323,0.670899
frankfurt_frankfurt_000000_008451_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_008451_leftImg8bit.png,10.5085,0.667237
frankfurt_frankfurt_000000_009291_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_009291_leftImg8bit.png,11.8997,0.738299
frankfurt_frankfurt_000000_009561_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_009561_leftImg8bit.png,15.2608,0.750104
frankfurt_frankfurt_000000_009688_leftImg8bit_AOD-Net.jpg,frankfurt_frankfurt_000000_009688_leftImg8bit.png,14.8790,0.673858
