pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000000_000294_leftImg8bit.png,frankfurt_frankfurt_000000_000294_leftImg8bit.png,8.2085,0.323384
frankfurt_frankfurt_000000_000576_leftImg8bit.png,frankfurt_frankfurt_000000_000576_leftImg8bit.png,12.0001,0.746543
frankfurt_frankfurt_000000_001016_leftImg8bit.png,frankfurt_frankfurt_000000_001016_leftImg8bit.png,18.0559,0.857016
frankfurt_frankfurt_000000_001236_leftImg8bit.png,frankfurt_frankfurt_000000_001236_leftImg8bit.png,11.2170,0.751961
frankfurt_frankfurt_000000_001751_leftImg8bit.png,frankfurt_frankfurt_000000_001751_leftImg8bit.png,13.1416,0.838787
frankfurt_frankfurt_000000_002196_leftImg8bit.png,frankfurt_frankfurt_000000_002196_leftImg8bit.png,13.4522,0.831091
frankfurt_frankfurt_000000_002963_leftImg8bit.png,frankfurt_frankfurt_000000_002963_leftImg8bit.png,12.4529,0.753259
frankfurt_frankfurt_000000_003025_leftImg8bit.png,frankfurt_frankfurt_000000_003025_leftImg8bit.png,11.2118,0.744099
frankfurt_frankfurt_000000_003357_leftImg8bit.png,frankfurt_frankfurt_000000_003357_leftImg8bit.png,11.4431,0.766223
frankfurt_frankfurt_000000_003920_leftImg8bit.png,frankfurt_frankfurt_000000_003920_leftImg8bit.png,11.4544,0.745576
frankfurt_frankfurt_000000_004617_leftImg8bit.png,frankfurt_frankfurt_000000_004617_leftImg8bit.png,10.0151,0.683517
frankfurt_frankfurt_000000_005543_leftImg8bit.png,frankfurt_frankfurt_000000_005543_leftImg8bit.png,11.8501,0.783620
frankfurt_frankfurt_000000_005898_leftImg8bit.png,frankfurt_frankfurt_000000_005898_leftImg8bit.png,8.5361,0.662496
frankfurt_frankfurt_000000_006589_leftImg8bit.png,frankfurt_frankfurt_000000_006589_leftImg8bit.png,11.1493,0.785096
frankfurt_frankfurt_000000_007365_leftImg8bit.png,frankfurt_frankfurt_000000_007365_leftImg8bit.png,11.8250,0.800673
frankfurt_frankfurt_000000_008206_leftImg8bit.png,frankfurt_frankfurt_000000_008206_leftImg8bit.png,9.9690,0.696264
frankfurt_frankfurt_000000_008451_leftImg8bit.png,frankfurt_frankfurt_000000_008451_leftImg8bit.png,8.8501,0.702208
frankfurt_frankfurt_000000_009291_leftImg8bit.png,frankfurt_frankfurt_000000_009291_leftImg8bit.png,11.8614,0.725156
frankfurt_frankfurt_000000_009561_leftImg8bit.png,frankfurt_frankfurt_000000_009561_leftImg8bit.png,13.4984,0.811128
frankfurt_frankfurt_000000_009688_leftImg8bit.png,frankfurt_frankfurt_000000_009688_leftImg8bit.png,20.1174,0.862355
frankfurt_frankfurt_000000_009969_leftImg8bit.png,frankfurt_frankfurt_000000_009969_leftImg8bit.png,7.8091,0.653764
frankfurt_frankfurt_000000_010351_leftImg8bit.png,frankfurt_frankfurt_000000_010351_leftImg8bit.png,11.8191,0.726838
frankfurt_frankfurt_000000_010763_leftImg8bit.png,frankfurt_frankfurt_000000_010763_leftImg8bit.png,12.2162,0.744265
frankfurt_frankfurt_000000_011007_leftImg8bit.png,frankfurt_frankfurt_000000_011007_leftImg8bit.png,10.5346,0.754469
frankfurt_frankfurt_000000_011074_leftImg8bit.png,frankfurt_frankfurt_000000_011074_leftImg8bit.png,14.8758,0.828731
frankfurt_frankfurt_000000_011461_leftImg8bit.png,frankfurt_frankfurt_000000_011461_leftImg8bit.png,13.0586,0.692862
frankfurt_frankfurt_000000_011810_leftImg8bit.png,frankfurt_frankfurt_000000_011810_leftImg8bit.png,10.2369,0.729111
frankfurt_frankfurt_000000_012009_leftImg8bit.png,frankfurt_frankfurt_000000_012009_leftImg8bit.png,13.4657,0.809381
frankfurt_frankfurt_000000_012121_leftImg8bit.png,frankfurt_frankfurt_000000_012121_leftImg8bit.png,12.9882,0.754477
frankfurt_frankfurt_000000_012868_leftImg8bit.png,frankfurt_frankfurt_000000_012868_leftImg8bit.png,13.1038,0.796369
frankfurt_frankfurt_000000_013067_leftImg8bit.png,frankfurt_frankfurt_000000_013067_leftImg8bit.png,11.4876,0.753240
frankfurt_frankfurt_000000_013240_leftImg8bit.png,frankfurt_frankfurt_000000_013240_leftImg8bit.png,16.2522,0.807677
frankfurt_frankfurt_000000_013382_leftImg8bit.png,frankfurt_frankfurt_000000_013382_leftImg8bit.png,13.8806,0.719137
frankfurt_frankfurt_000000_013942_leftImg8bit.png,frankfurt_frankfurt_000000_013942_leftImg8bit.png,9.5498,0.684544
frankfurt_frankfurt_000000_014480_leftImg8bit.png,frankfurt_frankfurt_000000_014480_leftImg8bit.png,11.7480,0.727625
frankfurt_frankfurt_000000_015389_leftImg8bit.png,frankfurt_frankfurt_000000_015389_leftImg8bit.png,11.5674,0.728758
frankfurt_frankfurt_000000_015676_leftImg8bit.png,frankfurt_frankfurt_000000_015676_leftImg8bit.png,11.8178,0.750374
frankfurt_frankfurt_000000_016005_leftImg8bit.png,frankfurt_frankfurt_000000_016005_leftImg8bit.png,9.9154,0.727082
frankfurt_frankfurt_000000_016286_leftImg8bit.png,frankfurt_frankfurt_000000_016286_leftImg8bit.png,10.3308,0.737718
frankfurt_frankfurt_000000_017228_leftImg8bit.png,frankfurt_frankfurt_000000_017228_leftImg8bit.png,9.2182,0.713809
frankfurt_frankfurt_000000_017476_leftImg8bit.png,frankfurt_frankfurt_000000_017476_leftImg8bit.png,11.1337,0.695839
frankfurt_frankfurt_000000_018797_leftImg8bit.png,frankfurt_frankfurt_000000_018797_leftImg8bit.png,15.0605,0.717484
frankfurt_frankfurt_000000_019607_leftImg8bit.png,frankfurt_frankfurt_000000_019607_leftImg8bit.png,12.0593,0.735469
frankfurt_frankfurt_000000_020215_leftImg8bit.png,frankfurt_frankfurt_000000_020215_leftImg8bit.png,13.7259,0.703858
frankfurt_frankfurt_000000_020321_leftImg8bit.png,frankfurt_frankfurt_000000_020321_leftImg8bit.png,12.2185,0.807247
frankfurt_frankfurt_000000_020880_leftImg8bit.png,frankfurt_frankfurt_000000_020880_leftImg8bit.png,12.2916,0.793813
frankfurt_frankfurt_000000_021667_leftImg8bit.png,frankfurt_frankfurt_000000_021667_leftImg8bit.png,9.5897,0.757905
frankfurt_frankfurt_000000_021879_leftImg8bit.png,frankfurt_frankfurt_000000_021879_leftImg8bit.png,8.8891,0.717002
frankfurt_frankfurt_000000_022254_leftImg8bit.png,frankfurt_frankfurt_000000_022254_leftImg8bit.png,11.5709,0.773850
frankfurt_frankfurt_000000_022797_leftImg8bit.png,frankfurt_frankfurt_000000_022797_leftImg8bit.png,13.5173,0.704544
frankfurt_frankfurt_000001_000538_leftImg8bit.png,frankfurt_frankfurt_000001_000538_leftImg8bit.png,12.7130,0.790615
frankfurt_frankfurt_000001_001464_leftImg8bit.png,frankfurt_frankfurt_000001_001464_leftImg8bit.png,11.8696,0.793890
frankfurt_frankfurt_000001_002512_leftImg8bit.png,frankfurt_frankfurt_000001_002512_leftImg8bit.png,9.9989,0.683772
frankfurt_frankfurt_000001_002646_leftImg8bit.png,frankfurt_frankfurt_000001_002646_leftImg8bit.png,8.7429,0.724960
frankfurt_frankfurt_000001_002759_leftImg8bit.png,frankfurt_frankfurt_000001_002759_leftImg8bit.png,9.2661,0.733998
frankfurt_frankfurt_000001_003056_leftImg8bit.png,frankfurt_frankfurt_000001_003056_leftImg8bit.png,10.7760,0.680928
frankfurt_frankfurt_000001_003588_leftImg8bit.png,frankfurt_frankfurt_000001_003588_leftImg8bit.png,10.6505,0.736069
frankfurt_frankfurt_000001_004327_leftImg8bit.png,frankfurt_frankfurt_000001_004327_leftImg8bit.png,11.8721,0.783380
