pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000000_000294_leftImg8bit.png,frankfurt_frankfurt_000000_000294_leftImg8bit.png,15.8694,0.730351
frankfurt_frankfurt_000000_000576_leftImg8bit.png,frankfurt_frankfurt_000000_000576_leftImg8bit.png,16.0717,0.712260
frankfurt_frankfurt_000000_001016_leftImg8bit.png,frankfurt_frankfurt_000000_001016_leftImg8bit.png,19.0945,0.784243
frankfurt_frankfurt_000000_001236_leftImg8bit.png,frankfurt_frankfurt_000000_001236_leftImg8bit.png,13.3600,0.689466
frankfurt_frankfurt_000000_001751_leftImg8bit.png,frankfurt_frankfurt_000000_001751_leftImg8bit.png,13.8627,0.688462
frankfurt_frankfurt_000000_002196_leftImg8bit.png,frankfurt_frankfurt_000000_002196_leftImg8bit.png,15.1534,0.740730
frankfurt_frankfurt_000000_002963_leftImg8bit.png,frankfurt_frankfurt_000000_002963_leftImg8bit.png,15.2771,0.724906
frankfurt_frankfurt_000000_003025_leftImg8bit.png,frankfurt_frankfurt_000000_003025_leftImg8bit.png,14.0651,0.683525
frankfurt_frankfurt_000000_003357_leftImg8bit.png,frankfurt_frankfurt_000000_003357_leftImg8bit.png,14.6457,0.708938
frankfurt_frankfurt_000000_003920_leftImg8bit.png,frankfurt_frankfurt_000000_003920_leftImg8bit.png,17.6027,0.774961
frankfurt_frankfurt_000000_004617_leftImg8bit.png,frankfurt_frankfurt_000000_004617_leftImg8bit.png,13.9902,0.674860
frankfurt_frankfurt_000000_005543_leftImg8bit.png,frankfurt_frankfurt_000000_005543_leftImg8bit.png,13.6685,0.702702
frankfurt_frankfurt_000000_005898_leftImg8bit.png,frankfurt_frankfurt_000000_005898_leftImg8bit.png,13.3101,0.652195
frankfurt_frankfurt_000000_006589_leftImg8bit.png,frankfurt_frankfurt_000000_006589_leftImg8bit.png,12.5731,0.701578
frankfurt_frankfurt_000000_007365_leftImg8bit.png,frankfurt_frankfurt_000000_007365_leftImg8bit.png,13.4243,0.758213
frankfurt_frankfurt_000000_008206_leftImg8bit.png,frankfurt_frankfurt_000000_008206_leftImg8bit.png,15.4511,0.740940
frankfurt_frankfurt_000000_008451_leftImg8bit.png,frankfurt_frankfurt_000000_008451_leftImg8bit.png,13.8323,0.687519
frankfurt_frankfurt_000000_009291_leftImg8bit.png,frankfurt_frankfurt_000000_009291_leftImg8bit.png,13.7557,0.728420
frankfurt_frankfurt_000000_009561_leftImg8bit.png,frankfurt_frankfurt_000000_009561_leftImg8bit.png,14.5189,0.666292
frankfurt_frankfurt_000000_009688_leftImg8bit.png,frankfurt_frankfurt_000000_009688_leftImg8bit.png,14.4685,0.657383
frankfurt_frankfurt_000000_009969_leftImg8bit.png,frankfurt_frankfurt_000000_009969_leftImg8bit.png,10.0589,0.612458
frankfurt_frankfurt_000000_010351_leftImg8bit.png,frankfurt_frankfurt_000000_010351_leftImg8bit.png,15.2096,0.714015
frankfurt_frankfurt_000000_010763_leftImg8bit.png,frankfurt_frankfurt_000000_010763_leftImg8bit.png,13.9314,0.645640
frankfurt_frankfurt_000000_011007_leftImg8bit.png,frankfurt_frankfurt_000000_011007_leftImg8bit.png,12.2434,0.640466
frankfurt_frankfurt_000000_011074_leftImg8bit.png,frankfurt_frankfurt_000000_011074_leftImg8bit.png,13.7801,0.764404
frankfurt_frankfurt_000000_011461_leftImg8bit.png,frankfurt_frankfurt_000000_011461_leftImg8bit.png,14.4024,0.722775
frankfurt_frankfurt_000000_011810_leftImg8bit.png,frankfurt_frankfurt_000000_011810_leftImg8bit.png,14.7967,0.715376
frankfurt_frankfurt_000000_012009_leftImg8bit.png,frankfurt_frankfurt_000000_012009_leftImg8bit.png,16.4716,0.743875
frankfurt_frankfurt_000000_012121_leftImg8bit.png,frankfurt_frankfurt_000000_012121_leftImg8bit.png,15.4907,0.723063
frankfurt_frankfurt_000000_012868_leftImg8bit.png,frankfurt_frankfurt_000000_012868_leftImg8bit.png,15.7623,0.766382
