pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000000_000294_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_000294_leftImg8bit.png,26.8580,0.880351
frankfurt_frankfurt_000000_000576_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_000576_leftImg8bit.png,25.8637,0.883619
frankfurt_frankfurt_000000_001016_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_001016_leftImg8bit.png,25.9271,0.875679
frankfurt_frankfurt_000000_001236_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_001236_leftImg8bit.png,26.7050,0.864052
frankfurt_frankfurt_000000_001751_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_001751_leftImg8bit.png,26.0713,0.872045
frankfurt_frankfurt_000000_002196_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_002196_leftImg8bit.png,26.2235,0.864154
frankfurt_frankfurt_000000_002963_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_002963_leftImg8bit.png,26.0339,0.836611
frankfurt_frankfurt_000000_003025_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_003025_leftImg8bit.png,25.9598,0.834969
frankfurt_frankfurt_000000_003357_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_003357_leftImg8bit.png,26.2263,0.823891
frankfurt_frankfurt_000000_003920_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_003920_leftImg8bit.png,24.8514,0.817331
frankfurt_frankfurt_000000_004617_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_004617_leftImg8bit.png,23.6360,0.825147
frankfurt_frankfurt_000000_005543_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_005543_leftImg8bit.png,23.6861,0.807868
frankfurt_frankfurt_000000_005898_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_005898_leftImg8bit.png,22.3541,0.790088
frankfurt_frankfurt_000000_006589_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_006589_leftImg8bit.png,24.4307,0.839054
frankfurt_frankfurt_000000_007365_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_007365_leftImg8bit.png,23.7370,0.784644
frankfurt_frankfurt_000000_008206_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_008206_leftImg8bit.png,22.1229,0.776104
frankfurt_frankfurt_000000_008451_leftImg8bit_dehazed.png,frankfurt_frankfurt_000000_008451_leftImg8bit.png,24.6179,0.786420
